streetAddress,city,state,zipcode,latitude,longitude,price,homeStatus,datePosted,description
1338 E Cinnabar Ave,Phoenix,AZ,85020,33.577003,-112.05269,430000.0,FOR_SALE,2023-02-25,"Brand new roof as of July 2022 with transferable warranty! Excellent investment opportunity!!! Wonderful income producing Phoenix duplex on an oversized lot in a great location! Both units are 2 bed 1 bath, the rear unit is slightly larger at just over 900 sqft. New windows on both units. Rear unit was fully remodeled with all new kitchen cabinets/countertops, windows, paint, bathroom and kitchen plumbing fixtures, all new plumbing/sewage run, electrical fixtures, hardware, trim, etc. Both units are tenant occupied. Both units have private yards with storage sheds. Both units have newer water heaters. New cedar privacy fence along the back of the property. Each unit has its own laundry room with hookups, tenants have provided their own washer/dryers. Did I mention brand new roof?!?"
1401 E Osborn Rd,Phoenix,AZ,85014,33.487087,-112.05191,420000.0,FOR_SALE,2022-12-17,"Charming 1947 Beauty in Ashby Place located in the heart of Phoenix just north of Cheery Lynn Historic District and around the corner from Phoenix Country Club.  Nicely updated with new interior tile & carpet, fresh interior/exterior paint and new roof 2022. Granite countertops and stainless appliances in kitchen.  Detached garage and bonus shop/storage.  Solar lease. This is a great value!  Close to Phoenix Children's Hospital, quaint eateries, freeways 51 & I-10."
5704 W Milada Dr,Laveen,AZ,85339,33.363773,-112.18185,445000.0,FOR_SALE,2022-11-26,Beautiful Corner Home
4242 E Sacaton St,Phoenix,AZ,85044,33.344967,-111.99151,425000.0,FOR_SALE,2022-11-17,"**Tenant Occupied** Spacious single-story, 4 bedroom, 2 bath home located in a quiet 55+ Ahwatukee Active Adult Community with loads of amenities. Low maintenance landscaping with Sun Room in the back. Community amenities include a rec center, pickleball, wood shop, pool and fitness center. Convenient access to I-10. Close to South Mountain, lots of shopping and restaurants."
11620 N 30th Ln,Phoenix,AZ,85029,33.592514,-112.125046,474900.0,FOR_SALE,2023-09-07,"Welcome to your move in ready home with 3 bedrooms, and 2 baths. Enjoy the open floor plan with lots of natural light  Beautiful newer wood like tile flooring in the main living areas, granite counter tops in kitchen with lots of storage, fresh interior paint, smart system, and upgraded baths. Enjoy your two outdoor patios, one with sound system already installed, plus an interior atrium Large primary bedroom with walk in closet. Bedroom 2 also has a walk in closet.   Small intimate community with tennis courts, pool, and walking/biking trails. Easy freeway access, close to new light rail, shopping, and dining."
2148 W Hazelwood St,Phoenix,AZ,85015,33.504345,-112.106094,480000.0,FOR_SALE,2023-09-07,"MARVELOUS POOL!!!!!!!!!!!!!!!! To Cool down on the hot Summers, NO HOA , Beautiful Corner House,3 Bedrooms,  2 Bathrooms,  RV Gate, Spacious back yard Carport for 2 Cars. Close to FreeWay.  Don't miss it , Your Clients will Love it."
4637 E Walatowa St,Phoenix,AZ,85044,33.345753,-111.98301,459000.0,FOR_SALE,2023-09-07,"This one is it!  Enjoy this quiet, updated home situated in the highly sought after Ahwatukee Retirement Community.  Two spacious living areas and two master bedrooms in the popular Kachina floor plan which also includes a formal dining space and a cozy wood burning fireplace.  The upgraded kitchen overlooks the great room and has granite counters, stainless steel appliances and a breakfast bar.  North/South exposure and a premium lot which borders a green belt: no neighbors behind this one.  Did I mention mountain views? An awesome backyard and patio to enjoy your morning coffee or evening happy hour!  Conveniently located to everything to include walking distance to dining and shopping! Put this one at the top of your list, you'll be glad you did!"
4241 W Michigan Ave,Glendale,AZ,85308,33.650005,-112.151276,465900.0,FOR_SALE,2023-09-07,"Welcome to your fully remodeled home in the heart of North Phoenix! The front privacy gate leads to a pleasant courtyard separating the home and garage, providing access to the backyard. Inside the front door, vaulted ceilings create an airy atmosphere with lots of natural light. You'll find a second private patio that is perfect for outdoor dining and a large, covered back patio and sparkling swimming pool with removable fence. The open concept layout, modern kitchen with updated appliances, and ample patio / courtyard space make entertaining a breeze. The two RV gates, garage, and  large driveway provide plenty of room for all your vehicles and recreational toys. With the remodeled interior, you'll have a fresh canvas to personalize and make your own."
4529 W Park Pl,Glendale,AZ,85306,33.63619,-112.15423,479900.0,FOR_SALE,2023-09-07,"STUNNING POOL HOME! This gorgeous bungalow boasts over 1800 sq ft with 3 spacious bedrooms, 2 full baths + separate formal living & dining rooms! Entertainer's kitchen features Oak cabinetry, tons of counter space, all appliances & breakfast bar overlooking the great room with fireplace! Upgrades include tile & wood laminate flooring throughout, tray ceilings, modern fixtures, plantation shutters & fresh paint inside & out! Step into your own, private backyard oasis with fenced DIVING POOL, dual RV gates & parking, extended covered patio, storage/workshop & low maintenance landscaping with artifical turf! Palatial master boasts spacious closet & ensuite bath with custom walk-in shower! Conveniently located in the heart of Glendale with NO HOA & close schools & shopping! TRULY A MUST SEE!"
18629 N 35th St,Phoenix,AZ,85050,33.65634,-112.00728,475000.0,FOR_SALE,2023-09-06,"Welcome to your dream home in the heart of Phoenix! This stunning 3-bedroom, 2.5-bathroom gem with skylights and a 2-car garage is now available and ready to make your homeownership dreams come true. Nestled in a serene community, this property offers the perfect blend of comfort, convenience, and style. You won't want to miss out on this opportunity. The recently updated kitchen, which boasts gorgeous granite countertops and modern appliances. The gas stove is a chef's dream, allowing for precise cooking control. The ample counter space and storage make meal preparation a breeze, while the adjacent dining area offers the perfect setting. Step outside into your private outdoor retreat, where you'll discover a quaint backyard ideal for relaxation and entertainment. The low-maintenance... allows you to enjoy the Arizona sunshine without the hassle of constant upkeep. One of the highlights of this property is its proximity to a community pool just across the street. The convenience of this pool makes it a fantastic feature that you will love. Additionally, the community provides ample parking for guests, ensuring that your visitors always have a place to park when they come to enjoy your new home."
2743 E Fawn Dr,Phoenix,AZ,85042,33.375034,-112.02354,450000.0,FOR_SALE,2023-09-06,"Welcome to this incredible 4 bedroom, 2.5 bath, 2098sf home in the beautiful and vibrant South Mountain community! Spacious interior provides ample space for entertaining or enjoying cozy evenings with the family.  Boasting the largest lot in the neighborhood, this home sits on a corner lot in a cul-de-sac. This move-in ready home comes with stainless steel kitchen appliances (sellers are leaving washer, dryer and refrigerator) new carpet, exterior painted in 2021 and new interior paint throughout!"
19016 N 8th Ave,Phoenix,AZ,85027,33.658928,-112.08477,499999.0,FOR_SALE,2023-09-06,"WELCOME HOME! To this spacious four bedroom, two bath gem with NO HOA! As you step inside, you'll immediately notice the beautiful vaulted ceilings that create an open and airy feel throughout. The kitchen has been remodeled with custom granite countertops and a stunning backsplash. This kitchen boasts not ONE but TWO kitchen islands, perfect for gatherings. Split floorplan for privacy and ample closets and storage throughout this home. CALLING all entertainers! You will love this backyard featuring a custom bar, covered patio and large fenced in pool for all your hosted parties with friends and family.If you're looking for low maintenance, this backyard is it offering lush green space. BRING YOUR TOYS! You will love the RV GATE and equipped with hook up. HURRY this one won't last!"
6838 S 42nd Way,Phoenix,AZ,85042,33.38412,-111.99004,499000.0,SOLD,2023-06-20,"You won't believe this place! This 4 bedroom, 2 bathroom home is located at the end of a cul-de-sac, with a HUGE 12,060 SF lot. There is RV parking with tons of room to park all your toys and equipment. Walk inside the home to a large, open floor plan, kitchen opens to a great room, with big island, and breakfast bar, HUGE pantry, lots of storage, appliances all new within last four years, new sink and garbage disposal in 2022. Four very spacious bedrooms. Guest bathroom was totally remodeled in 2021 with double sinks and walk-in shower. Master offers large bedroom, on-suite bath, and walk-in closet. Tile flooring in all the right places, inside laundry, 2 car garage, NEW roof in 2021, NEW A/C in 2015, all recently painted, with updated fixtures, and lighting. HURRY! Don't miss this one!"
4232 E Amberwood Dr,Phoenix,AZ,85048,33.29975,-111.99149,459000.0,FOR_SALE,2023-09-05,"As you step inside this beautiful 3/2 home you will be greeted by lots of natural light. This single level property has been updated with NEW laminate, NEW interior & exterior paint and is ready for you to move in. Gather friends around dining room table or in breakfast room. The 2 car garage is equipped with storage cabinets and a large workbench. Two additional closets in hallway and entrance offer additional storage. Discover the spacious patio and relax at the water fountain. Great location with access to I10, 202, rated schools and shopping. WELCOME HOME."
1611 E Villa Maria Dr,Phoenix,AZ,85022,33.651554,-112.04759,450000.0,FOR_SALE,2023-09-05,"Wow...Amazing Views! 3BR/2BA home with 2 Car Garage on a quiet cul-de-sac street. Very nice upgrades throughout, led lighting, paint, ceiling fans, bathroom vanities and more! Open kitchen with breakfast bar and stainless steel appliances, fireplace in family room, upgraded can lighting, living/dining room with spectacular views, bedrooms upstairs with large master suite, 2nd & 3rd bedrooms with great views and sliding door to full size deck off 2nd bedroom, full upstairs hall bathroom, inside laundry, large downstairs deck with play pool and full upper deck plus side yard area. Garage flat roof recently replaced and prior owner replaced tile roof area and new A/C unit in approximately 2011. Just an incredible home with absolutely breathtaking mountain, city light & sunset views!!!"
2840 W Charleston Ave,Phoenix,AZ,85053,33.649178,-112.12085,450000.0,FOR_SALE,2023-09-05,"Beautifully Remodeled Home from top to bottom with PAID OFF SOLAR(Tesla) & diving Pool & 2 RV GATES under 500k! Owner spared no expense starting with new wood looking tile throughout the whole home, high end kitchen with quartzite and subway tile backlash, newly remodeled bathroom showers with upgraded vanities. Pool has been resurfaced with prebleach, paid off solar, new garage door and motor, and freshly redone landscaping. If your buyer is looking for fully upgraded home that is really move in ready....this is the one and won't last."
2214 W Paradise Dr,Phoenix,AZ,85029,33.595364,-112.106544,450000.0,FOR_SALE,2023-09-04,"MID-CENTURY MODERN home that has recently undergone a complete update! The luxurious primary suite has ample space and modern amenities, ensuring relaxation. Step into the heart of the house, where you'll find a beautiful kitchen thoughtfully designed and equipped with top-of-the-line appliances and stylish finishes. One of the unique features of this property is the absence of a Homeowners Association (HOA), granting you the freedom to customize and enjoy your home without restrictions. The open floor plan enhances the sense of space and facilitates seamless movement throughout the living areas, making it perfect for entertaining. Outside, embrace the joy of outdoor living in this generous space. This home is a gem, near shopping, dining, and entertainment. DON'T MISS THE OPPORTUNITY!"
2229 E Virginia Ave,Phoenix,AZ,85006,33.476383,-112.03325,489000.0,FOR_SALE,2023-09-02,"Don't miss this move in ready Phoenix gem! A rare 4bed 2bath floor plan home w/ a modern feel (Over 1,600 SF!) Open spacious concept boasts a gourmet eat-in kitchen w/ oversized island & an extended flex area for a formal dining space or office/sitting room. Granite counter tops, white shaker cabinets, 24'' tile w/upgraded brick pattern, brushed nickel light fixtures & designer paint. Low maintenance landscaping w/ artificial turf front & back, mature tree, and open patio for relaxing. Separate 335 sqft workshop/studio plumbed w/ water and electric. RV gate w/parking complete the package. Low energy efficient, double pane, vinyl windows. Newer roof, electrical, heat pump & plumbing. Located in a beautiful historic neighborhood convenient to all Central Phx has to offer."
1221 E Diamond St,Phoenix,AZ,85006,33.459328,-112.05543,469900.0,FOR_SALE,2023-09-01,"AMAZING opportunity to own a beautifully renovated home in the Garfield District. This gorgeous north facing home includes an impressive 5 burner gas stove oven range, microwave, dishwasher, stainless steel tub, and dual pane windows. New modern tile. Beautiful granite countertops in the kitchen and main bath. New paint inside and outside. Roof replaced in 2020. Backyard is fully landscape and includes a patio area to entertain guests. Ability to park up to two cars in the driveway. Brief walk or bike ride to the University of Arizona-Banner Hospital, ASU Downtown Campus and Law School, Roosevelt Row Arts District, exciting bars and restaurants and major sporting events. Easy access to the I-10. Use the home as an income property or move in now as this is fully turnkey! Use the home as an income property or move in now as this is fully turnkey! The lot is zoned R3 multifamily, allowing you to add a casita in the back."
3319 W Paseo Way,Laveen,AZ,85339,33.36225,-112.13138,450000.0,FOR_SALE,2023-09-01,"Turn key and ready for its new owner! The home offers 4 bedrooms, 2 bathrooms & 2 car garage. Open floor plan w/ plenty of room for entertaining. The kitchen has an island w/ breakfast bar, cooktop stove, plenty of countertop & cabinet space. Pantry. The dining area is off the kitchen. There is a common area as you walk to the other side of the house that could be used as an office. Nice sized backyard w/ a covered patio."
4227 W Yucca St,Phoenix,AZ,85029,33.58715,-112.15028,497000.0,FOR_SALE,2023-09-01,"BEAUTIFUL MOVE IN READY HOME WITH A GREAT POOL, VERY NICE UPGRADES, Beautiful kitchen cabinets and Quartz counter tops and Island,"
4446 E Chaparosa Way,Cave Creek,AZ,85331,33.768234,-111.98468,485000.0,FOR_SALE,2023-09-01,VERY RARE COMPLETE HOME WITH 3 BEDROOMS POOL SINGLE LEVEL WITH NICE SIZE YARD AT THIS VALUE IN THE AREA.GOOD SIZED ROOMS WITH LOTS OF WINDOWS EVERYWHERE.   KITCHEN WITH GRANITE COUNTERS AND NICE SPACING.BEAUTIFUL PEBBLE TEC POOL AND EASY MAINTENANCE  LANDSCAPING.VERY CUTE AND SPECIAL HOME READY TO GO.
3303 E Everett Dr,Phoenix,AZ,85032,33.619495,-112.01146,480000.0,FOR_SALE,2023-09-01,"Come see a fantastic ranch home on an extra-large corner lot. 0.28 acres!! Enter the front door to a spacious living room, w/ craftsmen molding, hardwood floors and an adjoining trellised courtyard -perfect for your morning coffee or relaxing evening cocktail. The kitchen has a spacious granite island, granite desk, farmhouse sink, stainless steel appliances and cupboards galore! There are 3 nice sized bedrooms. The master suite has an office/sitting room and 3/4 bath attached! Enter your travertine tiled garage.. so many possibilities. Den/cave/family room? The laundry is in the garage & has doggy door & fenced dog run as entry to backyard. Newer roof/solar panels(2022) Pool-newer electrical and pump replaced 8/23. Home is close to Great Hearts North Phoenix Prep and Venturoso Park!"
1938 W Marshall Ave,Phoenix,AZ,85015,33.51795,-112.101524,457425.0,FOR_SALE,2023-09-01,"Discover eco-friendly elegance in this 3-bed, 2-bath energy-efficient residence equipped with solar panels! You'll find a harmonious living/dining room featuring a neutral palette, plantation shutters, and wood-look flooring that sets a tone for entertaining. New luxury carpet in the bedrooms in 2022. The gourmet kitchen boasts granite counters, tile backsplash, pendant lighting, raised panel cabinets, SS appliances, and a two-tier peninsula with a breakfast bar to amplify functionality. Retreat to the main bedroom, complete with plush luxury carpeting and a private bathroom for added comfort. An added Arizona room provides flexible living space with abundant natural light. The vast backyard offers a covered patio, storage shed, real grass, and a rear-entry RV gate and RV parking. NO HOA!"
4335 W Michelle Dr,Glendale,AZ,85308,33.64929,-112.1536,459900.0,FOR_SALE,2023-09-01,"Beautiful home in pristine Bellair Golf Community.  3 pools, Tennis courts, Recreational center & countless amenities!!  Gracious Formal Living room/Dining Room .  The Kitchen has dark oak cabinetry, island, corian countertops & black appliances, including built-in micro & fridge.  Rich organic Saltillo clay tile flooring in all the right living areas, ceiling fans & some upgraded lighting & fixtures.  3 huge bedrooms each with walk in closets.  Vaulted ceilings & skylights give bright natural light thru-out.  Upgraded dual-pane windows & French doors.  Inside laundry -washer/dryer. Large extended covered patio.  Backyard has many lush fruit trees incl. tangelo, orange, grapefruit & lemon trees.  Hot tub w/ pad.  Side yard includes storage shed & golf cart storage shed."
2318 E Sunland Ave,Phoenix,AZ,85040,33.396378,-112.031685,465900.0,FOR_SALE,2023-08-31,
4049 E Yowy St,Phoenix,AZ,85044,33.34755,-111.9952,460000.0,FOR_SALE,2023-08-30,"This Presley-built gem in the desirable Ahwatukee community is a 1,421 SF rancher, w/4 beds, 2 baths, & 2-car garage. Expansive primary suite w/walk-in closet is flooded w/ light & has a modern ensuite bath w/a sky tube, spacious walk-in shower & granite finishes. The kitchen & 2nd bathroom are also updated. Dual pane windows throughout, with new living room & primary bedroom carpet. HVAC recently serviced w/clean bill of health. Entertain on a gorgeous & roomy paver patio while enjoying the close-up view of South Mountain Park. There's a desert classic trailhead steps from the front door. Washer, dryer, & refrigerator convey & owner provides a 13-month home warranty. Easy highway access, close to Sky Harbor and the incredible amenities of The Valley of the Sun."
6823 S 57th Ave,Laveen,AZ,85339,33.38392,-112.181015,479900.0,FOR_SALE,2023-08-30,"Stunning 3 bed/2 bath home situated in a gated community, offers comfortable living with a touch of elegance.  The great room features a 3-panel glass slider that seamlessly connects the indoors to a backyard retreat featuring a sparkling salt water-heated pool, new filter & variable speed pump along with a covered patio prewired for surround sound, BBQ gas stub out & fire pit.  The home's interior features a neutral color scheme, wood plank porcelain tile, 3'' baseboards & 2-inch blinds throughout. The primary suite includes a walk-in closet, upgraded barn doors & an Ensuite bathroom with dual sinks, a soaking tub & walk-in shower.  The kitchen has a cozy breakfast nook & countertop seating. Upgraded staggered cabinetry with some pull outs,  granite countertops, a 5-burner stove top & convection oven. The inside laundry room has pre-plumbing for a potential sink. The exterior boasts fresh Dunn Edwards-Evershield paint. A 3-car garage has insulated doors and built-in cabinets for extra storage. New PVC drip system front/back on auto timer."
17206 N 32nd Pl,Phoenix,AZ,85032,33.642887,-112.01315,349900.0,FOR_SALE,2023-05-31,"Well maintained home with great curb appeal.  2 Bedrooms, 2 bathrooms.Kitchen has stainless steel appliances.2 car garage has dual garage doors, opens to the back yard, great for working on cars or work shop. Back yard has a covered patio, and lots of space.Quick access to the 51, lots of shopping near by."
7208 S 57th Ave,Laveen,AZ,85339,33.381496,-112.181366,495000.0,FOR_SALE,2023-08-26,"Enjoy your privacy with this home situated on a Golf Course lot in a gated community.  Soak in your private pool or stargaze from your balcony while hosting family and friends on your large covered rear patio.  Your home features upgraded flooring, new paint, built-ins for storage and a bonus room that can be used for an office, playroom or guests.  Your gourmet kitchen boasts double ovens, gas cooking and a spacious kitchen island.  You wont be disappointed as this home has room for everyone to roam."
10629 N 7th Pl,Phoenix,AZ,85020,33.58316,-112.06362,475000.0,FOR_SALE,2023-08-26,"Fabulous Mountain views from the front and back in this well cared for, Pointe Tapatio single family  & single level home. A great floor plan w/ 3 bedrooms, 2 baths, 2 car garage & separate living, dining & family rooms. Vaulted ceilings, sky lights and great natural light throughout. You can move right in and add your own special touches. Sidewalks, cul-de-sacs, green belts, pools & more are all available to you within the community. The Pointe Tapatio resort and golf course are down the street. Miles of hiking and mountain biking are all around w/ Shaw Butte, North Mountain & many other trails in the Phx Mountain Preserve.Shopping, dining, grocery etc... are minutes away. The 51 is 3 miles away w/ easy access to downtown Phoenix & Sky Harbor Airport. You will love it here and will want to live here!"
1826 W Oraibi Dr,Phoenix,AZ,85027,33.66372,-112.098694,499000.0,FOR_SALE,2023-08-26,"Totally redone home. 2 walls were kept and everything rebuilt around them. Everything new, new roof, new A/C, new......... All upgrades are what is used in million dollar homes. Huge back yard and patio. Parking is 2 sided. This one won't last long. Buyer to verify all information."
13035 N 37th Pl,Phoenix,AZ,85032,33.6056,-112.00222,440000.0,FOR_SALE,2023-06-12,"Beautiful home in PRIME location of 85032.  Located near grocery stores, easy access to all facets of the valley! This remodeled 3 bedroom 2 bathroom home boasts maple cabinets, granite countertops in kitchen and bathrooms. Stainless appliances all stay with the property.  Spacious living room for entertaining! Owner/Agent."
6458 W Saddlehorn Rd,Phoenix,AZ,85083,33.715626,-112.1998,470000.0,FOR_SALE,2023-08-25,"Don't miss out on this amazing home in Entrada; featuring 3 bed, 2 bath, almost 1700 sqft, with all new interior paint, new carpet, vaulted ceilings, open flloor plan and wood blinds throughout. Gorgeous kitchen with maple cabinets, white appliances & nice working island for cooking. Relax in the large master suite featuring dual sinks, separate tub and shower, and large master closet. Big beautiful grassy backyard for entertainment features over sized covered patio, custom paver and mature trees & landscaping. This will not last long at this price!"
4225 W Echo Ln,Phoenix,AZ,85051,33.559044,-112.15052,489000.0,FOR_SALE,2023-08-25,"Gorgeous Remodel, Tons of Space, Huge Bedrooms, Beautiful Bathrooms, and a Sparkling Blue Pool in the Backyard!!! What more do you want? Too many Updates to list! This would make a Great Family Home or an Amazing Rental Property. Act Fast!"
2430 E Darrel Rd,Phoenix,AZ,85042,33.384163,-112.028244,499900.0,FOR_SALE,2023-08-25,"UNICORN ALERT! Fall in love with this adorable home in the gated community of Fairways at the Legacy Golf Resort! This community is lush with grass and mature trees, fantastic neighbors and only minutes from downtown Phoenix. Tucked on a quiet street is this single level charmer. Bamboo wood floors in the formal living and kitchen, brand new wood blinds t/o, fresh paint t/o and very well maintained. Open island kitchen with real oak cabinets, SS appliances and plenty of storage. The living room is large with glass slider doors looking over the expanded patio. Be surprised by the size of the primary bedroom, it's fab. and the closet isnt too shabby either! This is a great split floor plan with the other two bedrooms up front. You will love this community, and this home is a 10+. Welcome!"
11822 S Morning Star Dr,Phoenix,AZ,85044,33.340813,-111.97704,480000.0,FOR_SALE,2023-08-24,"POPULAR FLOORPLAN AND GREAT LOCATION! This home features a spacious main and second bedroom, two full baths, OPEN living room and dining room, family room featuring a FIREPLACE and breakfast bar, and a covered patio accessible from the three GREAT rooms. A handsome kitchen with GRANITE countertops and sparkling POOL complete this carefree hideaway. PERFECT for that relaxed, quiet lifestyle you want and deserve. Just MINUTES from the I-10, 202, 101, & 60 freeways, bringing the entire Valley of the Sun into your BACKYARD. Twenty minutes to Sky Harbor Airport and 30 minutes to downtown PHOENIX or SCOTTSDALE. Enjoy all of the activities & amenities of the Ahwatukee RECREATION CENTER, too. This 55+ community has it all; GOLF, clubs, activities and beautiful VIEWS. WELCOME TO YOUR NEIGHBORHOOD!"
2437 W Echo Ln,Phoenix,AZ,85021,33.559383,-112.11191,499000.0,FOR_SALE,2023-08-24,"Welcome to this charming single-level home in the heart of Central Phoenix! This recently renovated gem boasts a brand-new interior and exterior, offering a fresh and modern living experience. Enjoy the Arizona sunshine in your own private pool, perfect for relaxation and family fun. With spacious living areas and a thoughtfully designed layout, this home is ideal for a growing family. Its prime location provides convenient access to all that Central Phoenix has to offer, from dining and shopping to parks and schools. Don't miss the opportunity to own this perfect family retreat that seamlessly blends comfort, style, and a desirable location."
11838 S Winnebago St,Phoenix,AZ,85044,33.339985,-111.98369,469000.0,FOR_SALE,2023-08-24,"This home shows like a model with pride of ownership, and very clean! Property includes: Excellent floor plan with huge rooms Comes fully applianced Ceiling fans throughout Huge office or 3rd bedroom New A/C 2018 Guest bedroom with door to main bath(like having 2 masters) Huge indoor laundry room Oversized 2 car garage with cabinets and workbench  Main bath updated 2019 Newer dual pane vinyl windows & sliders No carpet  Mountain Views Maintenance free landscaping"
6416 W Desert Hollow Dr,Phoenix,AZ,85083,33.714912,-112.19827,485000.0,FOR_SALE,2023-08-24,"Welcome to this lovely home situated in a friendly neighborhood. The backyard has been updated with desert landscaping, you'll find a quite private backyard with a pool and a beautiful mountain view. Inside, the house has been freshly painted, with new lighting, ceiling fans, blinds, and smoke alarms. The kitchen is equipped with stainless steel appliances, including a one-year-old refrigerator. This home offers a seamless connection between indoor and outdoor living, making it perfect for relaxation and entertainment."
17302 N 22nd Way,Phoenix,AZ,85022,33.643497,-112.03396,479900.0,FOR_SALE,2023-08-23,"Move-in ready, Sante Fe style home conveniently located in central Phoenix! This corner lot features 3 bedrooms and 2 baths in an open floorplan with high ceilings and natural light throughout. With upgraded flooring, paint, and baseboards, no detail has been overlooked in this home. The kitchen boasts beautiful earthy cabinetry with ample quartz countertop space, paired with a neutral backsplash and SS appliances.  The primary bedroom is equipped access to the back patio and the en suite bath of your dreams! Convenient access to shopping, dining, and freeways, this home will not last long!"
3625 W Grovers Ave,Glendale,AZ,85308,33.64709,-112.13746,469000.0,FOR_SALE,2023-08-22,"Come see this block construction home, 35 avenue and bell rd, excellent condition, which offers 4 good sized bedrooms,  2 baths,  open floor plan,  breakfast bar , 2 spacious family rooms, laundry room and 2 car garage!   Upgrades include: A/C, hot water heater, vinyl patio sliders, vinyl front window, flooring, interior doors, toilets, disposal.  6 vinyl replacement windows ready to install. Huge patio with plenty of room for family gatherings, fenced diving pool and built in bbq. 2 man's gates available, potential RV parking on the side of the house. Plenty of parking spots in front of home. NO HOA! Close to major freeways, shopping and entertainment, can make a great starter home or  long/short term rental. Furniture can convey in  a separate negotiation."
1524 E Constance Way,Phoenix,AZ,85042,33.375713,-112.04923,485000.0,FOR_SALE,2023-08-11,"No Kidding! This home is special.  3 bedrooms, 2 baths, Open Concept, Split Floor Plan, 3 car garage,direct entry from both garages. Owned Solar. Back yard with Covered patio, easy maintenance artificial turf, flower beds, sprinkler system to pots, very relaxing. Inside this pristine home. Freshly painted, kitchen w/custom cabinets, granite counters, breakfast bar, SS appliances, open to great room.  You have a breakfast area plus a formal dining area.  Built-in custom cabinets in great room w/ electric fireplace, TV, and decorative shelves. Primary bedroom split from other bedrooms with amazing custom large shower w/beautiful tile. Large walk-in closet, toilet room & double sinks.  Secondary bedrooms and bath on the other side.  Did I mention - custom wood shutters throughout plus crown molding adds a beautiful classy touch.  Tile in main areas and brand new carpet in all bedrooms. Modern new fans in secondary bedrooms.Buyer gets to take advantage of the owned $37,520. solar system.  No lease payments.  Seller will pay off solar at close of escrow. Mountain Views. Short distance to South Mountain Trails.  Easy access to freeways, all areas of the Valley, Downtown Phoenix, Sports Events, Concerts, & Plays. No kidding! This home is special!"
2201 W Surrey Ave,Phoenix,AZ,85029,33.604767,-112.10647,469000.0,FOR_SALE,2023-08-14,"Welcome to this charming 3-bed, 2-bath home that has been tastefully remodeled! Displaying a 2-carport parking and RV gate w/extended driveway. Highly upgraded interior showcases a modern semi-open layout adorned with NEW features that you'll surely love! Fresh neutral paint, wood-look flooring in common areas, carpet in bedrooms, and tons of natural light are some attributes worth mentioning. The gourmet kitchen boasts sleek SS appliances, quartz counters, white shaker cabinets, and an island w/breakfast bar. The barn door opens to the versatile den! Retreat to the main bedroom to find an updated bathroom for added comfort. But that's not all! The spacious backyard presents a covered patio, Cabana, storage shed, and space for BBQs & gatherings. Amazing Phoenix location! Ready to move in!"
1822 E Crittenden Ln,Phoenix,AZ,85016,33.48915,-112.042274,450000.0,FOR_SALE,2023-08-20,"Located with minutes of downtown Phoenix, this 3bed 2bath home has been completely remodeled and now an APS ENERGY STAR HOME, with insulation in the attic brought up to an R-30.  The entire house re-wired with a new 200-amp service panel, new roof, new heating and cooling system. dual paned windows with plantation shutters. Kitchen offers 40-inch full size uppers with soft close hinges. Master bedroom offers on suit bathroom with waterfall shower head . The lighting is all led with dimmer switches. Laundry is inside. The outside lighting by the garage and west side of house is dawn-to-dusk."
6849 W Saint Charles Ave,Laveen,AZ,85339,33.386093,-112.20697,480000.0,FOR_SALE,2023-08-21,"Welcome Home, to this 4-bedroom home featuring a 3-car garage and veneer accents on the facade. Be greeted by a cozy living room, perfect for entertaining. Adjacent to the living room is a cozy den, ideal for a workspace. The heart of the home is the bright great room fostering an atmosphere of warmth. The kitchen is complete with custom cherry wood cabinets, granite counters, a stylish tile backsplash, a pantry, recessed lighting, high-end SS appliances, and a convenient breakfast bar, perfect for casual dining and morning coffee. Make it your dream home today."
1322 S 1st Ave,Phoenix,AZ,85003,33.43429,-112.07547,479900.0,FOR_SALE,2023-08-18,"Own a piece of Phoenix history with this recently remodeled (2019) 3-bed/3-bath Territorial Santa Fe home just a block from the new Central Avenue light rail extension and Lolo's. The arcaded and raised front porch leads to a spacious living/dining/kitchen with refinished hardwood floors, coved ceiling, fireplace, original millwork and plenty of natural light. The chef's kitchen includes stone counters, side prep sink, built-in microwave, pantry and gas range. Each bedroom boasts a remodeled en-suite bath, almost unheard of in home of this era. The spacious laundry room features a prep sink and leads to a large fenced rear yard with RV gate and storage shed. New Trane AC ('23), updated plumbing and wiring, 2-car off-street motorized/gated parking and usable basement for storage/wine cella"
